ID	Name	Hint
487	Charmin' Farmin'	during Vinesweeper.
488	The Wrong Path	in the Chaos Tunnels.
489	Bubble and Squeak	at the Keldagrim Rat Pits.
490	Sarim's Vermin	at Port Sarim Rat Pits.
491	Rat Hunt	during Rat Catchers.
492	Exam Conditions	at the Stronghold of Player Safety.
493	Safety in Numbers	at the Stronghold of Player Safety.
494	Incarceration	at the Stronghold of Player Safety.
495	 	not unlockable!
496	The Trade Parade	at the Grand Exchange.
497	Aye Car Rum Ba	on Braindeath Island.
498	Blistering Barnacles	on Braindeath Island's mountain.
499	Creepy	during Kennith's Concerns.
500	A New Menace	during Kennith's Concerns.
501	Distant Land	at Burgh de Rott.
501	Distant Land	not unlockable!
502	Bittersweet Bunny	in an Easter holiday event (2008 onwards).
503	Waiting for the Hunt	in the Fist of Guthix waiting room.
504	Fangs for the Memory	during In Aid of the Myreque.
505	Pharaoh's Tomb	at the Agility Pyramid.
506	Land Down Under	during Royal Trouble.
507	Guthix's Hunter	during Fist of Guthix.
508	Meddling Kids	during Royal Trouble.
509	Corridors of Power	during Royal Trouble.
510	Slither and Thither	at the sea snake cave in Royal Trouble.
511	In the Clink	during the Prison Pete random event.
512	Bloodbath	at the Blood Altar.
513	Conspiracy: Part 1	during Legacy of Seergaze.
514	The Columbarium	during Legacy of Seergaze.
515	Mudskipper Melody	at Mudskipper Point.
516	Conspiracy: Part 2	during Legacy of Seergaze.
517	Subterranea	in Waterbirth Island Dungeon.
518	The Terrible Tunnels	during Legacy of Seergaze.
519	Incantation	during Shadow of the Storm.
520	Grip of the Talon	during Shadow of the Storm.
521	The Terrible Caverns	during Legacy of Seergaze.
522	Icy a Worried Gnome	during the Perils of Ice Mountain.
523	Icy Trouble Ahead	during the Perils of Ice Mountain.
524	Xenophobe	in Waterbirth Island Dungeon.
525	Title Fight	at the Champion's Challenge underground area.
526	Arma Gonna Get You	during TokTz-Ket-Dill.
527	Dillo-gence is Key	during TokTz-Ket-Dill.
528	Victory is Mine	at the Champion's Challenge arena.
529	 	not unlockable!
529	Woe of the Wyvern	at the Asgarnian Ice Dungeon's wyvern area.
530	In the Brine	at The Other Inn on Mos Le'Harmless.
531	TokTz-Ket-Ek-Mack	during TokTz-Ket-Dill.
532	Diango's Little Helpers	at Diango's Christmas workshop.
533	Roll the Bones	at the Mage Training Arena's Creature Graveyard.
534	Mind Over Matter	at the Mage Training Arena's Telekinetic Theatre.
535	Golden Touch	at the Mage Training Arena's Alchemists' Playground.
536	Cool for Ali Cats	during Smoking Kills.
537	Dogs of War	at the Vault of War in the Stronghold of Security.
539	Under the Sand	during Smoking Kills.
540	Desert Smoke	during Smoking Kills.
541	The Enchanter	at the Mage Training Arena's Enchanting Chamber.
542	Lament	during Enakhra's Lament.
543	Slain to Waste	during Smoking Kills.
544	Making Waves	during Swan Song.
545	Cabin Fever	during Cabin Fever.
546	Last Stand	during Swan Song.
547	Scape Santa	automatically.
548	Poles Apart	at the Trollweiss and Rellekka Hunter area.
548	 	not unlockable!
548	Poles Apart	not unlockable!
549	Jailbird	during Rocking Out.
550	Something Fishy	during Rocking Out.
551	A Pirate's Life for Me	during Rocking Out.
552	The Mentor	automatically.
553	Shining Spirit	during Spirit of Summer.
554	Troubled Spirit	during Spirit of Summer.
555	Ardougne Ago	during Meeting History.
556	Sarah's Lullaby	not unlockable!
557	Historic Memories	not unlockable!
558	Food for Thought	at the Catacomb of Famine in the Stronghold of Security.
559	Malady	at the Pit of Pestilence in the Stronghold of Security.
560	Dance of Death	at the Sepulchre of Death in the Stronghold of Security.
561	Second Vision	at the Runecrafting Guild.
562	Circus	during the Circus.
563	The Vacant Abyss	during Summer's End.
564	Bane of Summer	during Summer's End.
565	Wrath and Ruin	at the anger room of Tolna's rift.
566	Zombie Invasion	during Defender of Varrock.
567	Dream Theatre	during Defender of Varrock.
568	Storm Brew	at the killerwatt plane.
569	Undead Army	during Defender of Varrock.
570	The Ruins of Camdozaal	during Defender of Varrock.
571	The Art of Hocus-Pocus	in a Halloween holiday event (2008 onwards).
572	Magic and Mystery	during the Swept Away Quest.
573	The Mad Mole	at Falador Mole Lair.
573	 	not unlockable!
574	 	not unlockable!
575	Chickened Out	at the Evil Chicken's lair.
576	Davy Jones's Locker	during Recipe for Disaster.
577	Mastermindless	during Recipe for Disaster.
578	Stealing Creation	during Stealing Creation.
579	Dangerous Logic	during the While Guthix Sleeps Quest.
580	 	not unlockable!
581	The Evil Within	during the While Guthix Sleeps Quest.
582	Metalwork	in the Artisan Workshop in Falador.
583	Chef Surprize	during Recipe for Disaster.
584	Temple Desecrated	during the While Guthix Sleeps Quest.
585	Black of Knight	during the While Guthix Sleeps Quest.
586	Everlasting Fire	in the north-east corner of the Wilderness.
587	Null and Void	at the Pest Control landing area.
588	Pest Control	not unlockable!
588	Pest Control	during Pest Control.
589	The Sound of Guthix	during the While Guthix Sleeps Quest.
590	 	not unlockable!
591	Tomb Raider	during Pyramid Plunder.
592	Winter Funfare	during Myths of the White Lands.
593	The Dance of the Snow Queen	in a Christmas holiday event (2008 onwards).
594	No Way Out	at the hopelessness room of Tolna's rift area.
595	Cavernous Mythology	during Myths of the White Lands.
596	The Phoenix	during the In Pyre Need quest.
597	The Waiting Game	during Soul Wars.
598	Soul Wars	during Soul Wars.
599	Snack Attack	during the Sandwich Lady Random Event.
600	Method of Madness	at the confusion room of Tolna's rift area.
601	Trees Aren't Your Friends	during Evil Tree.
602	Fear and Loathing	at the fear room of Tolna's rift area.
603	Funny Bunnies	in an Easter holiday event (2006 onwards).
604	Assault and Battery	during Barbarian Assault.
605	Demise of the Dorgeshuun	during The Chosen Commander.
606	The Depths	during Contact!
607		not unlockable!
608	But We Can Fight	during The Chosen Commander.
609	Godslayer	during The Chosen Commander.
610	Distillery Hilarity	at Trouble Brewing's distillery.
611	Trouble Brewing	during Trouble Brewing.
612	Head to Head	during the Evil Twin random event.
613	Face Off	during The Chosen Commander.
614	Pinball Wizard	during the Pinball random event.
615	Beetle Juice	during Contact!
616	Back to Life	during Contact!
617	The Chosen Commander	during The Chosen Commander.
618	The Throne of Bandos	during The Chosen Commander.
620	Where Eagles Lair	during Eagles' Peak.
621	Homescape	automatically.
622	Waking Dream	during your dream in Lunar Diplomacy.
623	Dreamstate	during your dream in Lunar Diplomacy.
624	Don't Panic Zanik	during The Chosen Commander.
625	The Lunar Isle	at Lunar Isle.
626	Way of the Enchanter	in the dungeon beneath Lunar Isle.
627	Isle of Everywhere	on the east coast of Lunar Isle.
628	Glorious Recallation...	not unlockable!
629	Glorious Recallation...	not unlockable!
630	The Galleon	during Lunar Diplomacy.
631	Life's a Beach!	at the coastal area of Mos Le'Harmless.
632	Little Cave of Horrors	in the cave horror dungeon beneath Mos Le'Harmless.
633	On the Wing	at the Falconer Area, north-east of Eagles' Peak.
634	Warriors' Guild	at the Warriors' Guild.
635	The Adventurers Re-United!	not unlockable!
636	Nial's Widow	not unlockable!
637	Glorious Recallation...	not unlockable!
638	H.A.M. Fisted	during Death to the Dorgeshuun.
639	Frost Fight	during Glorious Memories.
640	Sigmund's Showdown	during Death to the Dorgeshuun.
641	Lair of Kang Admi	during Glorious Memories.
642	Lazy Wabbit	in an Easter holiday event (2009 onwards).
643	The Last Shanty	during the Darkness of Hallowvale.
644	Hare-brained Machines	in an Easter holiday event (2009 onwards).
645	The Muspah's Tomb	during The Tale of the Muspah.
646	Night of the Vampyre	during the Darkness of Hallowvale.
647	Rest for the Weary	during The Tale of the Muspah.
648	The Plundered Tomb	during Missing My Mummy.
649	Ancestral Wisdom	during Missing My Mummy.
650	Ice Day for Penguins	at the Iceberg Hunter area.
651	The Pengmersible	during Hunt for Red Raktuber.
652	Penguin Possible	during Hunt for Red Raktuber.
653		not unlockable!
654		not unlockable!
655	Desert Island Bear	during Hunt for Red Raktuber.
656		not unlockable!
657		not unlockable!
658		not unlockable!
659		not unlockable!
660		not unlockable!
661		not unlockable!
662		not unlockable!
663		not unlockable!
664		not unlockable!
665		not unlockable!
666	Kharidian Nights	at the pyramid south of the Ruins of Uzer.
667	Eruption	at the Wilderness volcano.
668	Mobilising Armies	during Mobilising Armies.
669	Command Centre	at the Command Centre of Mobilising Armies.
670	Waiting for Battle	during Mobilising Armies.
671	 	not unlockable!
672	The Heist	during The Curse of Arrav.
673	Lamistard's Labyrinth	during The Curse of Arrav.
674	Exhibit 'A'	when confronting the Odd Old Man's 'Exhibit'.
675		not unlockable
676		not unlockable
677	Fight of the Dwarves	during Forgiveness of a Chaos Dwarf.
678	Living Rock	in the Living Rock Caverns.
679	Scape Theme	automatically.
680	Elven Seed	during Within the Light.
681	Trick or Treat?	in a Halloween holiday event (2009 onwards).
682	Poison Dreams	in a Halloween holiday event (2009 onwards).
683	Itsy Bitsy...	in a Halloween holiday event (2009 onwards).
684	The Duke	on the upper floors of Lumbridge Castle.
685		not unlockable!
686		not unlockable!
687		not unlockable!
688		not unlockable!
689		not unlockable!
690		not unlockable!
691		not unlockable!
692		not unlockable!
693	The Horn of Chill	during The Temple at Senntisten Quest.
694		not unlockable!
695		not unlockable!
696		not unlockable!
697		not unlockable!
698		not unlockable!
699	Zaros Stirs	during The Temple at Senntisten Quest.
699	 	not unlockable!
700		not unlockable!
702		not unlockable!
703		not unlockable!
704		not unlockable!
705		not unlockable!
706		not unlockable!
708		not unlockable!
709		not unlockable!
710	Final Destination	in Kuradal's Slayer Dungeon.
711		not unlockable!
712		not unlockable!
713	The Fallen Hero	during Blood Runs Deep.
714	Jaws of the Dagannoth	during Blood Runs Deep.
715	Maiasaura	during Blood Runs Deep.
716	Honkytonky Newbie Melody	in The Blue Moon Inn, Varrock.
717	I'm Counting on You	during Vampyre Slayer.
718	Honkytonky Harmony	in The Rising Sun Inn, Falador.
719	Honkytonky Sea Shanty	in The Rusty Anchor Inn, Port Sarim.
720	Honkytonky Parade	in The Boar's Head Tavern, northeast of Varrock.
721	Honkytonky Medieval	in The Dancing Donkey Inn, Varrock.
722	Ghost of Christmas Presents	during a Christmas holiday event (2009 onwards).
723		not unlockable!
724	Smorgasbord	during a Christmas holiday event (2009 onwards).
725	Silent Knight	during a Christmas holiday event (2009 onwards).
726		not unlockable!
727	Battle of Souls	during Nomad's Requiem.
728	Desolate Ruins	during Nomad's Requiem.
729	These Stones	in the basement of the Mage Training Arena.
730	A Familiar Feeling	during the Familiarisation event.
731	Dead and Buried	in the Lumbridge Catacombs.
732	The Pact	during The Blood Pact.
733		not unlockable!
734	Freshwater	during a Fish Flingers competition.
735	Saltwater	during a Fish Flingers competition.
736	Stillwater	during a Fish Flingers competition.
737	An Easter United	in an Easter holiday event (2010 onwards).
738	Lexicus Runewright	during Dungeoneering.
739	Adorno IV	during Dungeoneering.
740	 	not unlockable!
741	Adorno III	during Dungeoneering.
742	Adorno V	during Dungeoneering.
743	Stomp	during Dungeoneering.
744	 	not unlockable!
745	 	not unlockable!
746	Rammernaut	during Dungeoneering.
747	Adorno IX	during Dungeoneering.
748	Adorno I	during Dungeoneering.
749	 	not unlockable!
750	 	not unlockable!
751	 	not unlockable!
752	 	not unlockable!
753	Adorno VI	during Dungeoneering.
754	 	not unlockable!
755	 	not unlockable!
756	Adorno X	during Dungeoneering.
757	Adorno VIII	during Dungeoneering.
758	 	not unlockable!
759	Night-gazer Khighorahk	during Dungeoneering.
760	 	not unlockable!
761	Adorno VII	during Dungeoneering.
762	 	not unlockable!
763	 	not unlockable!
764	 	not unlockable!
765	 	not unlockable!
766	 	not unlockable!
767	Har'Lakk the Riftsplitter	during Dungeoneering.
768	Sagittare	during Dungeoneering.
769	Adorno II	during Dungeoneering.
770	   	not unlockable!
771	Desolo VII	during Dungeoneering.
772	 	not unlockable!
773	 	not unlockable!
774	 	not unlockable!
775	Desolo IX	during Dungeoneering.
776	 	not unlockable!
777	 	not unlockable!
778	 	not unlockable!
779	Desolo I	during Dungeoneering.
780	Desolo VI	during Dungeoneering.
781	Desolo II	during Dungeoneering.
782	Divine Skinweaver	during Dungeoneering.
783	Shadow-forger Ihlakhizan	during Dungeoneering.
784	Unholy Cursebearer	during Dungeoneering.
785	Bulwark Beast	during Dungeoneering.
786	Bal'lak the Pummeller	during Dungeoneering.
787	Hobgoblin Geomancer	during Dungeoneering.
788	 	not unlockable!
789	 	not unlockable!
790	Desolo VIII	during Dungeoneering.
791	 	not unlockable!
792	 	not unlockable!
793	 	not unlockable!
794	Desolo V	during Dungeoneering.
795	 	not unlockable!
796	 	not unlockable!
797	 	not unlockable!
798	 	not unlockable!
799	Desolo III	during Dungeoneering.
800	 	not unlockable!
801	Desolo X	during Dungeoneering.
802	Desolo IV	during Dungeoneering.
803	Born to Do This	during Dungeoneering.
804	 	not unlockable!
805	 	not unlockable!
806	 	not unlockable!
807	 	not unlockable!
808	Glacialis VI	during Dungeoneering.
809	 	not unlockable!
810	Glacialis VIII	during Dungeoneering.
811	Glacialis IV	during Dungeoneering.
812	 	not unlockable!
813	 	not unlockable!
815	Icy Bones	during Dungeoneering.
816	Astea Frostweb	during Dungeoneering.
817	Gluttonous Behemoth	during Dungeoneering.
818	Luminescent Icefiend	during Dungeoneering.
819	Plane-freezer Lakhrahnaz	during Dungeoneering.
820	To'Kash the Bloodchiller	during Dungeoneering.
822	 	not unlockable!
823	 	not unlockable!
824	Glacialis V	during Dungeoneering.
825	 	not unlockable!
826	 	not unlockable!
827	Glacialis III	during Dungeoneering.
828	 	not unlockable!
829	 	not unlockable!
830	 	not unlockable!
831	Glacialis VII	during Dungeoneering.
832	Glacialis I	during Dungeoneering.
833	Glacialis IX	during Dungeoneering.
834	Glacialis II	during Dungeoneering.
835	 	not unlockable!
836	 	not unlockable!
837	Glacialis X	during Dungeoneering.
838	Thieves' Guild III	in the Thieves' Guild.
839	Thieves' Guild II	in the Thieves' Guild.
840	Thieves' Guild IV	in the Thieves' Guild.
842	Thieves' Guild I	in the Thieves' Guild.
843	Root Canal	during Fairy Tale Part III.
844	Body Talk	during Elemental Workshop III
845	Castle Warz	during Castle Wars, fighting for Zamorak.
846	Judge and Jury	during a court case.
847	Mindful	during Quiet Before the Swarm.
848	Void Knights' Theme	during Quiet Before the Swarm.
849	Lortnoc Tsep	during Quiet Before the Swarm.
850	   	not unlockable!
851	Love Lost	during Love Story.
852	Love Story	during Love Story.
853	   	not unlockable!
854	Love Bites	during Love Story.
855	Love and Hate	during Love Story.
856	Chain Reaction	during A Void Dance.
857	All for the Pest	during A Void Dance.
858	Out of Control	during A Void Dance.
859	Destiny	automatically.
860	Occulo IV	during Dungeoneering.
861	 	not unlockable!
862	 	not unlockable!
863	Yk'Lagor the Thunderous	during Dungeoneering.
864	Occulo X	during Dungeoneering.
865	Skeletal Trio	during Dungeoneering.
866	 	not unlockable!
867	 	not unlockable!
868	 	not unlockable!
869	 	not unlockable!
870	Occulo IX	during Dungeoneering.
871	 	not unlockable!
872	Occulo VI	during Dungeoneering.
873	Occulo I	during Dungeoneering.
874	 	not unlockable!
875	 	not unlockable!
876	Necrolord	during Dungeoneering.
877	Runed Behemoth	during Dungeoneering.
878	 	not unlockable!
879	 	not unlockable!
880	Occulo III	during Dungeoneering.
881	 	not unlockable!
882	Occulo II	during Dungeoneering.
883	 	not unlockable!
884	 	not unlockable!
885	Occulo VII	during Dungeoneering.
886	Occulo V	during Dungeoneering.
887	 	not unlockable!
888	 	not unlockable!
889	Occulo VIII	during Dungeoneering.
890	Yk'Lagor the Thunderous	not unlockable!
891	Gravecreeper	during Dungeoneering.
892	Flesh-spoiler Haasghenahk	during Dungeoneering.
893	Unavoidable Conflict	during a Conquest battle.
894	 	not unlockable!
895	Right of Conquest	in the Conquest lobby.
896	Gunnarsgrunn	during Gunnar's Ground.
897	 	not unlockable!
898	 	not unlockable!
899	Mystery Revealed	during The Void Stares Back.
900	In Security	during The Void Stares Back.
901	 	not unlockable!
902	Precarious Void	during The Void Stares Back.
903	Black Zabeth	in a Halloween holiday event (2010 onwards).
904	The Void Stares Back	during The Void Stares Back.
905	Give it Your Pest Shot	during The Void Stares Back.
906	Who Are We to Judge?	during The Void Stares Back.
907	Halloween Party	in a Halloween holiday event (2010 onwards).
908	Black Zabeth: LIVE!	not unlockable!
909		not unlockable!
910		not unlockable!
911	Torqueo IV	during Dungeoneering.
912		not unlockable!
913	Dreadnaught	during Dungeoneering.
914	Torqueo II	during Dungeoneering.
915		not unlockable!
916	Hope Devourer	during Dungeoneering.
917	Torqueo III	during Dungeoneering.
918		not unlockable!
919		not unlockable!
920	Torqueo VIII	during Dungeoneering.
921		not unlockable!
922	Warped Gulega	during Dungeoneering.
923		not unlockable!
924	Kal'Ger the Warmonger	during Dungeoneering.
925	Torqueo IX	during Dungeoneering.
926		not unlockable!
927	Torqueo V	during Dungeoneering.
928		not unlockable!
929		not unlockable!
930	Torqueo I	during Dungeoneering.
931		not unlockable!
932		not unlockable!
933		not unlockable!
934		not unlockable!
935		not unlockable!
936	Torqueo X	during Dungeoneering.
937	World-gorger Shukarhazh	during Dungeoneering.
938	Torqueo VII	during Dungeoneering.
939	Torqueo VI	during Dungeoneering.
940	Blink	during Dungeoneering.
941	The Task at Hand	by completing 350 Tasks.
942	 	not unlockable!
943	Monkey See, Monkey Do	not unlockable!
944	Simian Scuffle	during Do No Evil.
945	 	not unlockable!
946	 	not unlockable!
947	Monkey See, Monkey Do	not unlockable!
948	 	not unlockable!
949	 	not unlockable!
950	Monkey See, Monkey Do	during Do No Evil.
951	Seasonal Sports	in a Christmas holiday event (2010 onwards).
952	 	not unlockable!
953	Christmas Caverns	in a Christmas holiday event (2010 onwards).
954	Go with the Flow	during King of the Dwarves.
955	The Records Chamber	during King of the Dwarves.
956	Only a King	during King of the Dwarves.
957	Colonel Grimsson	during King of the Dwarves.
958	Rocky Rescue	during King of the Dwarves.
959	Corporate Callousness	during King of the Dwarves.
960	Zaros Zeitgeist	in the God Wars Dungeon.
961	Reunion	during Prisoner of Glouphrie.
962	Cage Against the Machine	during Prisoner of Glouphrie.
963	Logical Progression	during Elemental Workshop 4
964	Too Many Cooks...	during Recipe for Disaster.
965	The Factory Floor	during A Clockwork Syringe.
966	Spring Song	during an Easter holiday event (2011 onwards).
967	Lament of the Snow Queen	during an Easter holiday event (2011 onwards).
968	Three of a Kind	during Deadliest Catch.
969	Deadliest Catch	during Deadliest Catch.
970	Deadliest Catch	not unlockable!
971	Troll Invasion	during a Troll Invasion.
972	Kethsi	on entering Kethsi.
973	Slug Poison	during Salt in the Wound.
974	 	not unlockable!
975	Natural Selection	in the Jadinko Lair.
976	Citadel VII 	in a Clan Citadel.
977	 	not unlockable!
978	Citadel XI 	in a Clan Citadel.
979	Citadel XV 	in a Clan Citadel.
980	 	not unlockable!
981	 	not unlockable!
982	Citadel VI 	in a Clan Citadel.
983	Architect of War	in a Clan Citadel.
984	Citadel VIII 	in a Clan Citadel.
985	Citadel Theme	on entering a Clan Citadel.
985	 	not unlockable!
987	Citadel XIII 	in a Clan Citadel.
988	Citadel III	in a Clan Citadel.
989	Citadel XIV 	in a Clan Citadel.
990	Citadel XII 	in a Clan Citadel.
992	Citadel IX 	in a Clan Citadel.
993	Citadel IV	in a Clan Citadel.
994	Citadel I	in a Clan Citadel.
995	Citadel V 	in a Clan Citadel.
996	Citadel XVI 	in a Clan Citadel.
997	Citadel II	in a Clan Citadel.
998	Citadel X 	in a Clan Citadel.
999	 	not unlockable!
1000	Darkmeyer	during Branches of Darkmeyer.
1001	Vanescula Fight	during Branches of Darkmeyer.
1003	Upir Likhyi	during Branches of Darkmeyer.
1004	Arboretum	during Branches of Darkmeyer.
1005	 	not unlockable!
1008	Return of Lucien	during Ritual of the Mahjarrat.
1009	 	not unlockable!
1013	DCII Mash-up (Infinity Mix)	in a Halloween holiday event (2011 onwards).
1014	Dominion Lobby III	in the Dominion Tower.
1015	Dominion Tower I	in the Dominion Tower.
1016	Dominion Tower IV	in the Dominion Tower.
1017	Dominion Lobby I	in the Dominion Tower.
1018	Dominion Tower III	in the Dominion Tower.
1021	Dominion Tower V	in the Dominion Tower.
1022	Dominion Tower II	in the Dominion Tower.
1023	Dominion Lobby II	in the Dominion Tower.
1026	Traveller's Tale	during the One Piercing Note Quest.
1032	Troubadour Dance	during the One Piercing Note Quest.
1034	Citharede Requiem	during the One Piercing Note Quest.
1046	Valerio's Song	during the One Piercing Note Quest.